Vikram Seth,A Suitable Boy
Pat Barker,Regeneration
D. H. Lawrence,The Rainbow
na,na
list details page,"129 ""best of"" book lists"
Sigrid Undset,Kristin Lavransdatter
Rainer Maria Rilke,The Duino Elegies
L. Frank Baum,The Wonderful Wizard of Oz
Brothers Grimm,Household Tales
Dylan Thomas,Collected Poems of Dylan Thomas
Joao Guimaraes Rosa,The Devil to Pay in the Backlands
Stella Gibbons,Cold Comfort Farm
Elizabeth Bishop,Complete Poems
Thomas Mann,Death in Venice
Ivan Goncharov,Oblomov
Leo Tolstoy,The Death of Ivan Ilyich
Michael Ondaatje,The English Patient
Thomas Hardy,The Mayor of Casterbridge
J. G. Ballard,Crash: A Novel
Martin Amis,Money 
Truman Capote,Breakfast at Tiffany's
Wu Cheng'en,Journey to the West
Patricia Highsmith,The Talented Mr. Ripley
Marguerite Duras,The Lover
Charles Dickens,The Adventures of Oliver Twist
Amy Tan,The Joy Luck Club
Aristophanes,The Birds
Anton Chekhov,Three Sisters
Andre Malraux,Man's Fate
Mario Puzo,The Godfather
Victor Hugo,The Hunchback of Notre-Dame
Jorge Luis Borges,Labyrinths
Aleksandr Solzhenitsyn,One Day in the Life of Ivan Denisovich
Isaac Asimov,Foundation
Machado de Assis,The Posthumous Memoirs of Bras Cubas
Samuel Butler,Way of All Flesh
Arnold Bennett,The Old Wives' Tale
Witold Gombrowicz,Ferdydurke
Jennifer Egan,A Visit From The Goon Squad
Henry James,Wings of the Dove
Markus Zusak,The Book Thief
Aristophanes,The Clouds
Beatrix Potter,The Tale of Peter Rabbit
Dino Buzzati,The Tartar Steppe
Fyodor Dostoyevsky,Notes from the Underground
Dorothy Allison,Bastard Out of Carolina
Zadie Smith,NW: A Novel
James Baldwin,Giovanni's Room
Federico García Lorca,Gypsy Ballads
V. S. Naipaul,A Bend in the River
David Guterson,Snow Falling on Cedars
Walter Scott,Ivanhoe
Cao Xueqin,Dream of the Red Chamber
Tim O'Brien,The Things They Carried
William Gibson,Neuromancer 
na,na
list details page,"129 ""best of"" book lists"
Colleen McCullough,The Thorn Birds
John Bunyan,Pilgrim's Progress 
T. S. Eliot,Collected Poems of T.S. Eliot
Yann Martel,Life of Pi
Alan Moore,Watchmen 
Thomas Malory,Le Morte d'Arthur
Uwe Johnson,Anniversaries
Louise Erdrich,Love Medicine
James Fenimore Cooper,The Last of the Mohicans
W. H. Auden,Poems of W. H. Auden
Emile Zola,Thérèse Raquin
E. L. Doctorow,Ragtime
Philip Pullman,His Dark Materials
Joseph Roth,The Radetzky March
Émile Zola,Germinal
Harriet Beecher Stowe,Uncle Tom's Cabin
Sherwood Anderson,"Winesburg, Ohio"
Johann Wolfgang von Goethe,The Sorrows of Young Werther
Anthony Trollope,The Last Chronicle of Barset
Euripides,The Bacchae
Philip K. Dick,Do Androids Dream of Electric Sheep?
Alessandro Manzoni,The Betrothed
Mikhail Lermontov,A Hero of Our Time
Cesare Pavese,The Moon and the Bonfires
Yevgeny Zamyatin,We
Samuel Beckett,The Unnamable
William Styron,Sophie's Choice
Nathanael West,The Day of the Locust 
Edith Wharton,The Custom of the Country
Raymond Carver,The Stories of Raymond Carver
Kurt Vonnegut,Cat's Cradle
Barbara Kingsolver,The Bean Trees
P. G. Wodehouse,"Carry On, Jeeves"
Salman Rushdie,Satanic Verses
Anton Chekhov,The Cherry Orchard
Norton Juster,The Phantom Tollbooth
W. Somerset Maugham,The Razor's Edge
Agatha Christie,And Then There Were None
Norman Mailer,The Naked Dead
George Gissing,New Grub Street: A Novel
Paulo Coelho,The Alchemist
John Keats,The Poems of John Keats
Italo Calvino,Invisible Cities
Jean Racine,Phèdre
Edward FitzGerald,Rubaiyat of Omar Khayyam
George Eliot,Silas Marner
Anthony Trollope,The Way We Live Now
Charles Frazier,Cold Mountain
Luigi Pirandello,Six Characters in Search of an Author
Roberto Bolaño,The Savage Detectives
na,na
list details page,"129 ""best of"" book lists"
Yukio Mishima,The Temple of the Golden Pavilion
Joseph Conrad,The Secret Agent
Georges Perec,"Life, a User's Manual"
Lawrence Durrell,The Alexandria Quartet 
Rohinton Mistry,A Fine Balance
Flannery O'Connor,A Good Man Is Hard to Find
Iris Murdoch,Under the Net 
Anonymous,The Nibelungenlied
Eugene O'Neill,Mourning Becomes Electra
John Fowles,The French Lieutenant's Woman 
Chris Ware,"Jimmy Corrigan, the Smartest Kid on Earth"
Evelyn Waugh,Scoop
Ernest Hemingway,In Our Time
Luís Vaz Camões,The Lusiad
Theodore Dreiser,Sister Carrie
Irène Némirovsky,Suite Française
Anthony Trollope,Barchester Towers
J M Coetzee,Waiting for the Barbarians
Graham Greene,The Quiet American 
Laurie Lee,Cider with Rosie
Eudora Welty,The Collected Stories of Eudora Welty
Martin Amis,London Fields
Aravind Adiga,The White Tiger
Samuel Taylor Coleridge,The Rime of the Ancient Mariner
Kate Chopin,The Awakening
Stephen King,The Shining
Machado de Assis,Dom Casmurro
Junichiro Tanizaki,Some Prefer Nettles
Angela Carter,Nights At The Circus
Philip Roth,The Human Stain
Elizabeth Bowen,The Death of the Heart 
William Blake,Songs of Innocence and Experience
Don DeLillo,Underworld
Clarice Lispector,The Hour of the Star
Bret Easton Ellis,American Psycho
Carol Shields,The Stone Diaries
Lois Lowry,The Giver
John Fowles,The Magus
Max Frisch,I'm Not Stiller
Toni Morrison,Jazz
Sinclair Lewis,Arrowsmith
Kurt Vonnegut,The Breakfast of Champions
William Shakespeare,Othello
Erskine Childers,Riddle of the Sands
Sebastian Faulks,Birdsong
Sinclair Lewis,Babbitt
William Shakespeare,A Midsummer Night's Dream 
Margaret Atwood,The Blind Assassin
Julio Cortázar,Hopscotch
Gillian Flynn,Gone Girl
na,na
list details page,"129 ""best of"" book lists"
Iain Banks,The Wasp Factory: A Novel
Francoise Sagan,Bonjour Tristesse
Patrick Suskind,Perfume
Rainer Maria Rilke,The Notebooks of Malte Laurids Brigge
Ian Fleming,Casino Royale
Jhumpa Lahiri,The Namesake
Thomas Pynchon,The Crying of Lot 49 
John Wyndham,The Day of the Triffids
J. D. Salinger,Franny and Zooey
Mark Twain,The Adventures of Tom Sawyer
Ken Kesey,Sometimes a Great Notion
Graham Greene,The Heart of the Matter 
Marilynne Robinson,Home
Edmond Rostand,Cyrano de Bergerac
Khaled Hosseini,The Kite Runner
Denis Johnson,Jesus' Son
Euripides,Trojan Women
James M. Cain,The Postman Always Rings Twice
George R. R. Martin,A Game of Thrones
Suzanne Collins,The Hunger Games
William Shakespeare,The Sonnets
Jane Smiley,A Thousand Acres
Peter Carey,Oscar and Lucinda
Junichiro Tanizaki,The Makioka Sisters
William Wordsworth,The Prelude
Hermann Broch,The Sleepwalkers
Arthur Golden,Memoirs of a Geisha
Bernard Shaw,Pygmalion
Michael Cunningham,The Hours
Kiran Desai,The Inheritance of Loss
Chimamanda Ngozi Adichie,Americanah
José Saramago,Blindness
Wilkie Collins,The Moonstone
Ben Fountain,Billy Lynn's Long Halftime Walk: A Novel
William Faulkner,The Collected Stories of William Faulkner
P. G. Wodehouse,The Code of the Woosters
Willa Cather,Death Comes for the Archbishop
Horace,The Odes
Andrea Levy,Small Island
Euripides,Hippolytus
Jeanette Winterson,Oranges are not the only Fruit
Flannery O'Connor,Wise Blood
J M Coetzee,Life & Times of Michael K
Lord Byron,Don Juan: A Poem
Patrick White,Voss
Henry James,The Turn of the Screw
Georges Bataille,Story of the Eye
T. C. Boyle,World's End
George Grossmith,The Diary of a Nobody
John Buchan,The Thirty-Nine Steps
na,na
list details page,"129 ""best of"" book lists"
Graham Greene,The Power and the Glory
John Knowles,A Separate Peace
Antonio Machado,Poems by Machado
MacKinlay Kantor,Andersonville
Nathanael West,Miss Lonelyhearts 
James Agee,A Death in the Family 
Nathaniel Hawthorne,The House of the Seven Gables
Fernando de Rojas,Celestina
Alexander Pushkin,Eugene Onegin
Henrik Ibsen,Hedda Gabler
Federico García Lorca,Poet in New York
John Barth,The Sot-Weed Factor 
Richard Yates,Revolutionary Road
John McGahern,Amongst Women
Helen Fielding,Bridget Jones's Diary
Thomas Pynchon,V
J. G. Farrell,The Siege of Krishnapur
Paul Auster,The New York Trilogy
Christopher Isherwood,Goodbye to Berlin
Eudora Welty,The Optimist's Daughter
Joyce Carol Oates,Them
Nelson Algren,The Man with the Golden Arm
Samuel Beckett,Murphy
John le Carré,"Tinker, Tailor, Soldier, Spy"
Kathy Acker,Blood and Guts in High School
Roberto Arlt,Los Siete Locos
Luis Cernuda,The Poetry of Luis Cernuda
Thomas Bernhard,Correction
Mario Vargas Llosa,The Feast of the Goat: A Novel
Larry McMurtry,Lonesome Dove
Raymond Carver,Cathedral
Boris Vian,Froth on the daydream
Hermann Hesse,The Glass Bead Game
Carlos Fuentes,The Death of Artemio Cruz
Lorrie Moore,Birds of America
Kazuo Ishiguro,An Artist of the Floating World 
John le Carré,The Spy Who Came in From the Cold 
Agatha Christie,The Murder of Roger Ackroyd
William Faulkner,"If I Forget Thee, Jerusalem"
William Gaddis,The Recognitions 
Robert Coover,Pricksongs and Descants
Milan Kundera,The Book of Laughter and Forgetting 
Joan Didion,Play It As It Lays 
Federico García Lorca,Poems of Federico García Lorca
Malorie Blackman,Noughts and Crosses
Aesop,Aesop's Fables
Rachel Cusk,Outline
Grace Paley,Little Disturbances
Allen Ginsberg,Howl and Other Poems
George Eliot,Daniel Deronda 
na,na
list details page,"129 ""best of"" book lists"
Molière,Tartuffe
Benito Pérez Galdós,Fortunata and Jacinta
William Faulkner,Sanctuary
Roald Dahl,"Charlie And The Chocolate Factory,"
Robert Walser,Jakob Von Gunten
Eugene O'Neill,Long Day's Journey Into Night
Vladimir Nabokov,Ada or Ardor
Henry James,The Golden Bowl
William Wordsworth,Lyrical Ballads
Jonathan Safran Foer,Everything Is Illuminated
José Saramago,The Year of the Death of Ricardo Reis
Juan Rulfo,The Burning Plain and Other Stories
Juan Carlos Onetti,The Shipyard
Guillermo Cabrera Infante,Three Trapped Tigers
Jonathan Franzen,Freedom: A Novel
Giorgio Bassani,The Garden of the Finzi-Continis
Mario Vargas Llosa,The Time of the Hero
James Albert Michener,Hawaii
Orhan Pamuk,Snow
Penelope Fitzgerald,The Blue Flower
Ursula K. Le Guin,A Wizard of Earthsea
Roddy Doyle,Paddy Clarke Ha Ha Ha
James A. Michener,Tales of the South Pacific
Neal Stephenson,Snow Crash 
Benjamin Constant,Adolphe
Thornton Wilder,The Bridge of San Luis Rey
Elsa Morante,History
Thomas More,Utopia
Gottfried von Strassburg,Tristan
Rachel Kushner,The Flamethrowers: A Novel
Marilynne Robinson,Housekeeping
Evelyn Waugh,Decline and Fall
Edward St Aubyn,Mother's Milk
Ann Patchett,Bel Canto
Pedro Calderón de la Barca,Life Is a Dream
Lucy Maud Montgomery,Anne of Green Gables
François Villon,The Poems of Francois Villon
Jhumpa Lahiri,Interpreter of Maladies
Stéphane Mallarmé,Collected Poems
Armistead Maupin,Tales of the City
Stephenie Meyer,Twilight
Ha Jin,Waiting
Agatha Christie,Murder on the Orient Express
Patrick O'Brian,Master and Commander
John Donne,The Complete Poetry and Selected Prose of John Donne
Alan Hollinghurst,The Swimming-Pool Library
Anne Rice,Interview with the Vampire
J. M. Barrie,Peter Pan
Unknown,Beowulf
Anne Tyler,Dinner at the Homesick Restaurant
na,na
list details page,"129 ""best of"" book lists"
John O'Hara,Appointment in Samarra
Guanzhong Luo,Romance of the Three Kingdoms
Juan Ramón Jiménez,Platero
Aleksandr Solzhenitsyn,Cancer Ward
Sōseki Natsume,Kokoro
Aleksandr Solzhenitsyn,First Circle
L. P. Hartley,The Go-Between
Ryunosuke Akutagawa,Rashomon and Seventeen Other Stories
Jesmyn Ward,Salvage the Bones: A Novel
William Kennedy,Ironweed
Kahlil Gibran,The Prophet
Unknown,Lazarillo de Tormes
Rosamunde Pilcher,The Shell Seekers
Jane Austen,Sense and Sensibility
Paul Bowles,The Sheltering Sky 
Laura Esquivel,Like Water For Chocolate
John Steinbeck,East of Eden
Guillaume Apollinaire,Alcools
Barbara Pym,Excellent Women
Flann O'Brien,At Swim Two-Birds
Pat Conroy,The Prince of Tides
Olive Ann Burns,Cold Sassy Tree
Charles Dickens,A Christmas Carol
James Hogg,The Private Memoirs and Confessions of a Justified Sinner
Hanif Kureishi,The Buddha of Suburbia
William Gaddis,JR
Ali Smith,There But For The
Göran Tunström,The Christmas Oratorio
Alejo Carpentier,The Lost Steps
Cora Sandel,The Alberta Trilogy
Par Lagerkvist,Barabbas
Väinö Linna,The Unknown Soldier
Herbjørg Wassmo,House with the Blind Glass Windows
August Strindberg,The Red Room
August Strindberg,Hemsöborna
Marianne Fredriksson,Simon and the Oaks
Max Beerbohm,Zuleika Dobson
Paul Beatty,The Sellout
Sarah Orne Jewett,The Country of the Pointed Firs
Isaac B Singer,Gimpel the Fool
William Shakespeare,Romeo and Juliet
Anne Tyler,The Accidental Tourist
Edward Abbey,The Monkey Wrench Gang
Charles Dickens,Little Dorrit
Anton Chekhov,Uncle Vanya
Abbe Prevost,Manon Lescaut
Lew Wallace,Ben-Hur
Nick Hornby,High Fidelity
James Dickey,Deliverance 
Peter Carey,True History of the Kelly Gang
na,na
list details page,"129 ""best of"" book lists"
Jamaica Kincaid,Annie John
Sandor Marai,Embers
Friedrich Holderlin,Hyperion
Alain Robbe-Grillet,Jealousy: A Novel
Yasunari Kawabata,Thousand Cranes
Alan Sillitoe,Saturday Night and Sunday Morning
Hans Jakob Christoffel von Grimmelshausen,Simplicius Simplicissimus
Edna O'Brien,The Country Girls
Jean Cocteau,Les Enfants Terribles
Joseph von Eichendorff,Aus dem Leben eines Taugenichts
Anne Michaels,Fugitive Pieces
Anne Brontë,The Tenant of Wildfell Hall
Imre Kertész,Fateless
Johann Wolfgang von Goethe,Elective Affinities
Theodor Fontane,The Stechlin
Knut Hamsun,Growth of the Soil
Bernhard Schlink,The Reader
E. T. A. Hoffmann,The Life and Opinions of the Tomcat Murr
Peter Høeg,Smilla's Sense of Snow: A Novel
Primo Levi,"If Not Now, When?"
Gottfried Keller,Green Henry
Anthony Burgess,Earthly Powers
Michel Houellebecq,Platform
Lydia Davis,Varieties of Disturbance: Stories
John Cheever,The Wapshot Chronicle
James Baldwin,Another Country
John Green,The Fault in Our Stars
Kurt Vonnegut,The Sirens of Titan
Haruki Murakami,1Q84
Donna Tartt,The Goldfinch
Jack Finney,Time and Again
Isaac Asimov,"I, Robot"
Camara Laye,The African Child
Xun Lu,Diary of a Madman and Other Stories
Robert Browning,Robert Browning's Poetry
Jeanette Winterson,The Passion
Dave Eggers,What Is the What
Philip Roth,The Plot Against America
Toni Morrison,Sula
Kate Atkinson,Life After Life
Wallace Stegner,Angle of Repose
Ursula K. Le Guin,The Left Hand Of Darkness
Viet Thanh Nguyen,The Sympathizer
